selected_value,w_efficiency,w_fairness,w_exploration,reversibility_loss_total,energy
fairness,0.5849999999999996,0.9249999999999999,0.930000000000002,0.1,92.0
efficiency,0.5599999999999996,0.9249999999999999,0.930000000000002,0.1,91.0
efficiency,0.5649999999999996,0.9249999999999999,0.930000000000002,0.1,90.0
fairness,0.5649999999999996,0.9199999999999999,0.930000000000002,0.1,89.0
efficiency,0.5499999999999996,0.9199999999999999,0.930000000000002,0.1,88.0
exploration,0.5499999999999996,0.9199999999999999,0.925000000000002,0.1,87.0
fairness,0.5499999999999996,0.9349999999999999,0.925000000000002,0.1,86.0
efficiency,0.5149999999999996,0.9349999999999999,0.925000000000002,0.1,85.0
fairness,0.5149999999999996,0.94,0.925000000000002,0.1,84.0
efficiency,0.49999999999999956,0.94,0.925000000000002,0.1,83.0
fairness,0.49999999999999956,0.945,0.925000000000002,0.1,82.0
fairness,0.49999999999999956,0.95,0.925000000000002,0.1,81.0
fairness,0.49999999999999956,0.945,0.925000000000002,0.1,80.0
fairness,0.49999999999999956,0.9299999999999999,0.925000000000002,0.1,99.0
efficiency,0.49499999999999955,0.9299999999999999,0.925000000000002,0.1,98.0
efficiency,0.48999999999999955,0.9299999999999999,0.925000000000002,0.1,97.0
exploration,0.48999999999999955,0.9299999999999999,0.920000000000002,0.1,96.0
fairness,0.48999999999999955,0.9249999999999999,0.920000000000002,0.1,95.0
fairness,0.48999999999999955,0.9199999999999999,0.920000000000002,0.1,94.0
exploration,0.48999999999999955,0.9199999999999999,0.915000000000002,0.1,93.0
efficiency,0.47499999999999953,0.9199999999999999,0.915000000000002,0.1,92.0
exploration,0.47499999999999953,0.9199999999999999,0.920000000000002,0.1,91.0
exploration,0.47499999999999953,0.9199999999999999,0.9650000000000021,0.1,100.0
fairness,0.47499999999999953,0.9199999999999999,0.9650000000000021,0.1,100.0
fairness,0.47499999999999953,0.9149999999999999,0.9650000000000021,0.1,99.0
exploration,0.47499999999999953,0.9149999999999999,0.9500000000000021,0.1,98.0
efficiency,0.46999999999999953,0.9149999999999999,0.9500000000000021,0.1,97.0
exploration,0.46999999999999953,0.9149999999999999,0.9450000000000021,0.1,96.0
fairness,0.46999999999999953,0.9099999999999999,0.9450000000000021,0.1,95.0
exploration,0.46999999999999953,0.9099999999999999,0.930000000000002,0.1,94.0
fairness,0.46999999999999953,0.9149999999999999,0.930000000000002,0.1,93.0
